Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Fri Nov 22 2019,8:00p,San Antonio Spurs,Philadelphia 76ers,0.778170764,0.221829146
Fri Nov 22 2019,8:30p,Cleveland Cavaliers,Dallas Mavericks,0.826853395,0.173146576
Fri Nov 22 2019,9:00p,Boston Celtics,Denver Nuggets,0.544426978,0.455573052
Fri Nov 22 2019,9:00p,Golden State Warriors,Utah Jazz,0.800501823,0.199498206
Fri Nov 22 2019,10:30p,Houston Rockets,Los Angeles Clippers,0.544966877,0.455033123
Sat Nov 23 2019,5:00p,Phoenix Suns,Minnesota Timberwolves,0.459512234,0.540487766
Sat Nov 23 2019,7:00p,Chicago Bulls,Charlotte Hornets,0.547779679,0.45222038
Sat Nov 23 2019,7:00p,Orlando Magic,Indiana Pacers,0.748740613,0.251259446
Sat Nov 23 2019,7:30p,Toronto Raptors,Atlanta Hawks,0.255908936,0.744091034
Sat Nov 23 2019,7:30p,San Antonio Spurs,New York Knicks,0.505912483,0.494087458
Sat Nov 23 2019,7:30p,Miami Heat,Philadelphia 76ers,0.42885679,0.57114321
Sat Nov 23 2019,8:00p,Portland Trail Blazers,Cleveland Cavaliers,0.406317502,0.593682528
Sat Nov 23 2019,8:00p,Los Angeles Lakers,Memphis Grizzlies,0.329102159,0.670897841
Sat Nov 23 2019,8:30p,Detroit Pistons,Milwaukee Bucks,0.843364,0.156635955
Sat Nov 23 2019,9:00p,New Orleans Pelicans,Utah Jazz,0.645186901,0.354813069
Sun Nov 24 2019,3:30p,Dallas Mavericks,Houston Rockets,0.634983778,0.365016252
Sun Nov 24 2019,6:00p,Brooklyn Nets,New York Knicks,0.390271544,0.609728396
Sun Nov 24 2019,6:00p,Sacramento Kings,Washington Wizards,0.701943517,0.298056483
Sun Nov 24 2019,8:00p,Phoenix Suns,Denver Nuggets,0.58504194,0.41495806
Sun Nov 24 2019,9:00p,New Orleans Pelicans,Los Angeles Clippers,0.712535262,0.287464768
Mon Nov 25 2019,7:00p,Brooklyn Nets,Cleveland Cavaliers,0.3542355,0.64576447
Mon Nov 25 2019,7:00p,Orlando Magic,Detroit Pistons,0.667811632,0.332188427
Mon Nov 25 2019,7:00p,Memphis Grizzlies,Indiana Pacers,0.711268783,0.288731217
Mon Nov 25 2019,7:30p,Minnesota Timberwolves,Atlanta Hawks,0.347807735,0.652192295
Mon Nov 25 2019,7:30p,Sacramento Kings,Boston Celtics,0.780266583,0.219733372
Mon Nov 25 2019,7:30p,Charlotte Hornets,Miami Heat,0.83800596,0.16199407
Mon Nov 25 2019,7:30p,Philadelphia 76ers,Toronto Raptors,0.750576675,0.249423325
Mon Nov 25 2019,8:00p,Portland Trail Blazers,Chicago Bulls,0.554051518,0.445948511
Mon Nov 25 2019,8:00p,Utah Jazz,Milwaukee Bucks,0.795116723,0.204883233
Mon Nov 25 2019,8:30p,Los Angeles Lakers,San Antonio Spurs,0.35157305,0.64842695
Mon Nov 25 2019,10:30p,Oklahoma City Thunder,Golden State Warriors,0.466316223,0.533683777
Tue Nov 26 2019,8:30p,Los Angeles Clippers,Dallas Mavericks,0.744546771,0.255453259
Tue Nov 26 2019,9:00p,Washington Wizards,Denver Nuggets,0.733984172,0.266015857
Wed Nov 27 2019,7:00p,Brooklyn Nets,Boston Celtics,0.769799769,0.230200246
Wed Nov 27 2019,7:00p,Detroit Pistons,Charlotte Hornets,0.374035537,0.625964522
Wed Nov 27 2019,7:00p,Orlando Magic,Cleveland Cavaliers,0.558467209,0.441532791
Wed Nov 27 2019,7:00p,Utah Jazz,Indiana Pacers,0.609591424,0.390408605
Wed Nov 27 2019,7:00p,Sacramento Kings,Philadelphia 76ers,0.741053641,0.258946359
Wed Nov 27 2019,7:30p,New York Knicks,Toronto Raptors,0.856747031,0.143252939
Wed Nov 27 2019,8:00p,Miami Heat,Houston Rockets,0.495699584,0.504300416
Wed Nov 27 2019,8:00p,Los Angeles Clippers,Memphis Grizzlies,0.375067472,0.624932528
Wed Nov 27 2019,8:00p,Atlanta Hawks,Milwaukee Bucks,0.872204125,0.12779589
Wed Nov 27 2019,8:30p,Minnesota Timberwolves,San Antonio Spurs,0.459494501,0.540505469
Wed Nov 27 2019,9:00p,Washington Wizards,Phoenix Suns,0.66751951,0.33248052
Wed Nov 27 2019,9:30p,Los Angeles Lakers,New Orleans Pelicans,0.373303592,0.626696348
Wed Nov 27 2019,10:00p,Oklahoma City Thunder,Portland Trail Blazers,0.574266613,0.425733417
Wed Nov 27 2019,10:30p,Chicago Bulls,Golden State Warriors,0.469996244,0.530003786
Fri Nov 29 2019,12:00p,Boston Celtics,Brooklyn Nets,0.496646225,0.503353715
Fri Nov 29 2019,7:00p,Charlotte Hornets,Detroit Pistons,0.627404034,0.372595966
Fri Nov 29 2019,7:00p,Toronto Raptors,Orlando Magic,0.348039418,0.651960611
Fri Nov 29 2019,7:30p,Milwaukee Bucks,Cleveland Cavaliers,0.214888841,0.785111129
Fri Nov 29 2019,7:30p,Philadelphia 76ers,New York Knicks,0.336439699,0.663560331
Fri Nov 29 2019,8:00p,Atlanta Hawks,Indiana Pacers,0.830771387,0.169228584
Fri Nov 29 2019,8:00p,Utah Jazz,Memphis Grizzlies,0.403475732,0.596524239
Fri Nov 29 2019,8:00p,Golden State Warriors,Miami Heat,0.852162659,0.147837341
Fri Nov 29 2019,8:00p,New Orleans Pelicans,Oklahoma City Thunder,0.550546765,0.449453235
Fri Nov 29 2019,8:30p,Los Angeles Clippers,San Antonio Spurs,0.38413462,0.61586535
Fri Nov 29 2019,9:00p,Dallas Mavericks,Phoenix Suns,0.394877166,0.605122805
Fri Nov 29 2019,10:00p,Chicago Bulls,Portland Trail Blazers,0.687263966,0.312736034
Fri Nov 29 2019,10:30p,Washington Wizards,Los Angeles Lakers,0.822288752,0.177711233
Sat Nov 30 2019,5:00p,Denver Nuggets,Sacramento Kings,0.379427165,0.620572805
Sat Nov 30 2019,7:00p,Indiana Pacers,Philadelphia 76ers,0.690092564,0.309907466
Sat Nov 30 2019,8:00p,Atlanta Hawks,Houston Rockets,0.856044769,0.143955246
Sat Nov 30 2019,8:00p,Charlotte Hornets,Milwaukee Bucks,0.855394959,0.144605011
Sun Dec 1 2019,3:00p,Miami Heat,Brooklyn Nets,0.408850193,0.591149867
Sun Dec 1 2019,3:30p,Memphis Grizzlies,Minnesota Timberwolves,0.736923635,0.263076335
Sun Dec 1 2019,3:30p,Boston Celtics,New York Knicks,0.326560736,0.673439264
