Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
Jonas Jerebko,PF,0.413,0.782,0.6,4.4,3.7,0.8,0.3,0.3,0.7
Briante Weber,PG,0.359,0.75,0,4.4,3.6,3,1.3,0.4,1.3
Joakim Noah,C,0.383,0.489,0,4.3,8.8,3.8,0.6,1,1.8
Thomas Robinson,PF,0.447,0.431,0,4.3,5.1,0.6,0.5,0.5,1
C.J. Watson,PG,0.343,0.872,0.4,4.3,2,2.7,0.6,0.2,0.8
Jeff Withey,C,0.537,0.729,0,4.3,3.4,0.4,0.4,1,0.5
Solomon Hill,SF,0.447,0.857,0.4,4.2,2.8,1,0.6,0.2,0.6
Joe Ingles,SF,0.426,0.722,1,4.2,1.9,1.2,0.7,0,0.8
Tyus Jones,PG,0.359,0.718,0.4,4.2,1.3,2.9,0.8,0.1,0.9
Ryan Kelly,PF,0.369,0.685,0.1,4.2,3.4,0.6,0.4,0.3,0.5
Brandon Rush,SG,0.427,0.643,0.9,4.2,2.5,0.8,0.3,0.3,0.5
Elton Brand,C,0.431,0.889,0,4.1,3.7,1.1,0.5,0.5,0.6
Chase Budinger,SF,0.435,0.696,0.4,4.1,2.3,1,0.5,0.2,0.7
John Jenkins,SG,0.444,0.833,0.4,4.1,1.3,0.8,0.2,0,0.6
Omer Asik,C,0.533,0.545,0,4,6.1,0.4,0.3,0.3,0.9
Anthony Brown,SF,0.31,0.85,0.7,4,2.4,0.7,0.5,0.2,0.5
Rakeem Christmas,PF,1,,0,4,1,0,0,0,0
Darrun Hilliard,SG,0.397,0.725,0.5,4,1.2,0.7,0.2,0,0.5
Brian Roberts,PG,0.448,0.894,0.3,4,0.8,1.1,0.2,0,0.5
Chris Andersen,C,0.528,0.694,0.1,3.9,3.6,0.4,0.6,0.5,0.3
Kevin Seraphin,C,0.41,0.826,0,3.9,2.6,1,0.2,0.8,0.9
Justin Anderson,SF,0.406,0.8,0.4,3.8,2.4,0.5,0.3,0.5,0.4
Glenn Robinson,SF,0.43,0.692,0.3,3.8,1.5,0.6,0.4,0.2,0.4
Delon Wright,PG,0.45,0.743,0.2,3.8,1.4,1.1,0.3,0.1,0.6
Joe Young,PG,0.367,0.8,0.2,3.8,1.2,1.6,0.4,0,0.8
Caron Butler,SF,0.424,0.833,0.2,3.7,1.3,0.6,0.5,0.1,0.2
Orlando Johnson,SG,0.265,0.75,0.3,3.7,2.1,0.3,0.4,0.4,0.6
James Jones,SF,0.408,0.808,0.9,3.7,1,0.3,0.2,0.2,0.3
Kendall Marshall,PG,0.364,0.692,0.5,3.7,0.9,2.4,0.5,0.1,1.4
Salah Mejri,C,0.628,0.587,0,3.7,3.6,0.3,0.2,1.1,0.7
Andre Miller,PG,0.557,0.75,0.1,3.7,1.3,2.2,0.4,0,0.9
